,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
73,Rashtriya Sanskrit Vidyapeetha,world rank  9041,"Near Balaji Colony
Tirupati
517 507 Andhra Pradesh
India",+91 (877) 228 7680,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
74,Rasmussen College,world rank  724,"226 Park Avenue South
St. Cloud
56301-3713 Minnesota
United States",+1 (320) 251 5600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,"Commission on Accreditation for Health Informatics and Information Management Education (CAHIIM)
State of Minnesota Board of Nursing
CAAHEP Commission on Accreditation of Allied Health Education Programs
Minnesota Higher Education Services Office",Rasmussen College Inc.,['Not reported']
75,Ratchathani University,world rank  9967,"487 Moo 4, Chayangkul Road, Muang
Ubon Ratchathani
34000 Ubon Ratchathani
Thailand",+66 (45) 319 900,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
76,Rattana Bundit University,world rank  8905,"306 Soi 107, Lad Phrao Road, Bangkapi
Bangkok
10240 Bangkok
Thailand",+66 (2) 375 4480-6,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
77,Rauf Denktas Üniversitesi,world rank  11548,"Abdi Cavus Str., Surlarici
Lefkosía
Northern Cyprus
Cyprus",+90 (392) 600 1616 - 25,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,"Faculty of Architecture and Fine Arts
Faculty of Law
Faculty of Business and Economics
Faculty of Tourism
Faculty of Engineering
Vocational School
Vocational School of Justice","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
78,Ravensbourne University London,world rank  2926,"6 Penrose Way, Greenwich Peninsula
London
SE10 0EW London
United Kingdom",+44 (20) 3040 3500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid', 'career services']"
79,Ravenshaw University,world rank  9160,"College Square
Cuttack
753 003 Odisha
India",+91 (671) 261 0060,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
80,Rawalpindi Medical University,world rank  9478,"Tipu Road
Rawalpindi
46000 Punjab
Pakistan",+92 (51) 928 1011,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
81,Rayalaseema University,world rank  9380,"National Highway 18, Nandyal Road
Kurnool
518 007 Andhra Pradesh
India",+91 (8518) 272 600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"National Council for Teacher Education (NCTE)
Association of Indian Universities (AIU)","Rayalaseema University
|
Faculty of Languages Faculty of Arts Faculty of Sciences Faculty of Management","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
82,Rayat-Bahra University,world rank  9824,"V.P.O. Sahauran
Kharar
140 104 Punjab
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
83,Razi University,world rank  5399,"Taghe Bostan, Baghe Abrisham, Daneshgah Blv.
Kermanshah
67155 Kermanshah
Iran",+98 (83) 3427 6167,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Razi University
|
Faculty of Science Faculty of Engineering Faculty of Agriculture Faculty of Literature and Humanities Faculty of Veterinary Medicine Faculty of Chemistry Faculty of Social Science","['library', 'housing', 'sports facilities', 'financial aid']"
84,Recep Tayyip Erdogan Üniversitesi,world rank  5321,"Recep Tayyip Erdogan Üniversitesi Zihni Derin Yerleskesi, Fener Mah.
Rize
53100 Rize
Turkey",+90,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
85,Red Sea University,world rank  11501,"PO Box 24
Port Sudan
Red Sea
Sudan",+249 (311) 219 28,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
86,Redeemer University College,world rank  5632,"777 Garner Road East
Ancaster
L9K 1J4 Ontario
Canada",+1 (905) 648 2131,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,"Universities Canada (UC)
Council for Christian Colleges and Universities (CCCU)
International Association for the Promotion of Christian Higher Education (IAPCHE)
Association of Reformed Institutions of Higher Education (ARIHE)
Christian Higher Education Canada (CHEC)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
87,Redeemer's University,world rank  8585,"Gbongan-Osogbo Road, Akoda-Ede
Ede
232103 Osun
Nigeria",+234 813 573 0044,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)
European Higher Education Area (ESG)","Redeemer's University
|
College of Humanities College of Management and Social Sciences College of Natural Sciences College of Basic Medical Sciences College of Law College of Postgraduate Studies","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
88,Reed College,world rank  879,"3203 Se Woodstock Boulevard
Portland
97202-8199 Oregon
United States",+1 (503) 771 1112,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,American Chemical Society (ACS),"Institute of International Education (IIE)
Association of International Educators (NAFSA)
Council for International Educational Exchange (CIEE)",['Not reported']
89,Reformed Church University,world rank  12684,"PO Box 80
Masvingo
Masvingo
Zimbabwe",+263 772 168102-5,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Reformed Church University
|
Faculty of Commerce Faculty of Education and Social Sciences Faculty of Arts and Religious Studies",['library']
90,Regent University,world rank  1208,"1000 Regent University Drive
Virginia Beach
23464 Virginia
United States",+1 (757) 352 4127,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Council for Higher Education Accreditation (CHEA)
The Council for Accreditation of Counseling and Related Educational Programs (CACREP)
The State Council of Higher Education for Virginia (SCHEV)
Association of Theological Schools (ATS)
The American Bar Association (ABA)
The Commission on Accreditation (CoA) of the American Psychological Association (APA)
The Commission on Collegiate Nursing Education (CCNE)
TEAC accreditation by the Inquiry Brief Commission of the Council for the Accreditation of Educator Preparation (CAEP)
Accreditation Council for Business Schools and Programs (ACBSP)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Christian College Athletic Association (NCCAA)",['Not reported']
91,Regent University College of Science and Technology,world rank  5578,"PO Box DS 1636, Dansoman
Accra
Greater Accra
Ghana",+233 (503) 030 999,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,Kwame Nkrumah university of Science and Technology (KNUST),"Regent University College of Science and Technology
|
School of Business and Leadership Faculty of Engineering Computing and Allied Sciences Faculty of Arts and Sciences",['library']
92,Regent's University London,world rank  2789,"Inner Circle, Regent's Park
London
NW1 4NS London
United Kingdom",+44 (20) 7487 7700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,"Universities UK
Erasmus+","Regent's University London
|
European Business School London Regent's American College London Regent's Business School London Regent's Institute of Languages and Culture Regent's School of Psychotherapy and Psychology Regent's School of Drama, Film and Media Regent's School of Fashion and Design","['library', 'housing', 'financial aid']"
93,Regional Maritime University,world rank  10687,"PO Box 1115
Accra
Greater Accra
Ghana",+233 (302) 712 343,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
94,Regis College,world rank  2329,"235 Wellesley Street
Weston
02493-1571 Massachusetts
United States",+1 (781) 768 7000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Council on Social Work Education (CSWE)
National League for Nursing Accrediting Commission (NLNAC)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
95,Regis University,world rank  1516,"3333 Regis Boulevard
Denver
80221-1099 Colorado
United States",+1 (800) 388 2366,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
American Chemical Society (ACS)
American Physical Therapy Association (APTA), Commission on Accreditation in Physical Therapy Education
Computing Accreditation Commission (CAC) of ABET","Regis Corporation
Association of Jesuit Colleges and Universities (AJCU)
Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
96,Reinhardt University,world rank  4339,"7300 Reinhardt Circle
Waleska
30183-2981 Georgia
United States",+1 (770) 720 5600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
97,Reitaku University,world rank  4498,"2-1-1 Hikarigaoka
Kashiwa
277-8686 Chiba
Japan",+81 (471) 73 3601,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
98,Relay Graduate School of Education,world rank  5423,"25 Broadway, 3rd Floor
New York City
10004 New York
United States",+1 (212) 228 1888,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
99,Renaissance University,world rank  11539,"Private Mailbox 01183
Enugu
Enugu
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
100,Renmin University of China,world rank  474,"59 Zhongguancun Street, Haidian District
Beijing
100872 Beijing
China",+86 (10) 6251 1132,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Renmin University of China
|
School of Agricultural Economics and Rural Development School of Business School of Continuing Education School of Economics School of Environment and Natural Resources School of Finance School of Foreign Languages School of History School of Information School of Information Resource Management School of International Studies School of Journalism School of Labor and Human Resources School of Law School of Literary Studies School of Marxism Studies School of Teaching Chinese as Foreign Language School of Philosophy School of Public Administration School of Statistics School of Sociology and Population Studies School of Arts Institute of Qing History Department of Physics Department of Chemistry School of Education and Training","['library', 'sports facilities', 'financial aid']"
101,Rennes School of Business,world rank  5736,"2 Rue Robert d'Arbrissel
Rennes
35065 Bretagne
France",+33 (0)2 99 54 63 63,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
102,Rensselaer Polytechnic Institute,world rank  251,"110 8Th Street
Troy
12180-3590 New York
United States",+1 (518) 276 6000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET
American Chemical Society (ACS)
National Architectural Accrediting Board (NAAB)","Association of Independent Technological Universities (AITU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
103,Republic Central Colleges,world rank  12466,"Plaridel Street
Angeles City
2009 Central Luzon
Philippines",+63 (45) 322 5863,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
104,Research College of Nursing,world rank  8965,"2525 E. Meyer Boulevard
Kansas City
64132-1199 Missouri
United States",+1 (816) 995 2800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,Rockhurst University,['Not reported']
105,Resurrection University,world rank  8624,"1431 N. Claremont
Chicago
60622 Illinois
United States",+1 (773) 252 6464,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Commission on Collegiate Nursing Education (CCNE),Presence Health (PH),['Not reported']
106,REVA University,world rank  6612,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka
Bangalore
560 064 Karnataka
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
107,Rezeknes Tehnologiju Akademija,world rank  4974,"Atbrîvosanas aleja 115
Rezekne
LV-4601 Latgale
Latvia",+371 28325368,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Rezeknes Tehnologiju Akademija
|
Faculty of Education and Design Faculty of Humanities and Law Faculty of Engineering Faculty of Economics","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
108,Rheinische Fachhochschule Köln,world rank  4817,"Schaevenstr. 1 a-b
Köln
50676 North Rhine-Westphalia
Germany",+49 (221) 20302 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
109,Rheinische Friedrich-Wilhelms-Universität Bonn,world rank  217,"Regina-Pacis-Weg 3
Bonn
53113 North Rhine-Westphalia
Germany",+49 (228) 73 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,European University Association (EUA),"Rheinische Friedrich-Wilhelms-Universität Bonn
|
Faculty of Catholic Theology Faculty of Protestant Theology Faculty of Law and Economics Faculty of Medicine Faculty of Arts Faculty of Mathematics and Natural Sciences Faculty of Agriculture","['library', 'sports facilities', 'career services']"
110,Rheinisch-Westfälische Technische Hochschule Aachen,world rank  116,"Templergraben 55
Aachen
52062 North Rhine-Westphalia
Germany",+49 (241) 801,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
TU9 German Institutes of Technology e. V. (TU9)","Rheinisch-Westfälische Technische Hochschule Aachen
|
Faculty of Mathematics, Computer Science and Natural Sciences Faculty of Architecture Faculty of Civil Engineering Faculty of Mechanical Engineering Faculty of Georesources and Materials Engineering Faculty of Electrical Engineering and Information Technology Faculty of Arts and Humanities Faculty of Business and Economics Faculty of Medicine","['library', 'sports facilities', 'financial aid']"
111,Rhema University,world rank  11516,"153 Aba-Owerri Road, Abayi
Aba
450272 Abia
Nigeria",+234 (816) 208 1174,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,no-data,"Rhema University
|
College of Basic and Applied Sciences College College of Management and Social Sciences","['library', 'housing', 'sports facilities']"
112,Rhode Island College,world rank  1205,"600 Mount Pleasant Avenue
Providence
02908 Rhode Island
United States",+1 (401) 456 8000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
American Chemical Society (ACS)
Council on Social Work Education (CSWE)
National Association of Schools of Art and Design (NASAD)
National Association of Schools of Music (NASM)","Rhode Island Board of Governors for Higher Education (RIBGHE)
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
113,Rhode Island School of Design,world rank  815,"2 College Street
Providence
02903-2784 Rhode Island
United States",+1 (401) 454 6100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Landscape Architecture Accrediting Board (LAAB)
National Architectural Accrediting Board (NAAB)
National Association of Schools of Art and Design (NASAD)",Association of Independent Colleges of Art and Design (AICAD),['Not reported']
114,Rhodes College,world rank  1480,"2000 North Parkway
Memphis
38112-1690 Tennessee
United States",+1 (901) 843 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,American Chemical Society (ACS),"Council of Independent Colleges (CIC)
Council of International Schools (CIS)
Association of International Educators (NAFSA)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
115,Rhodes University,world rank  1195,"94 Drostdy Road
Grahamstown
6140 Eastern Cape
South Africa",+27 (46) 603 8111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of African Universities (AAU)
Universities South Africa (USA)
African Research Universities Alliance (ARUA)","Rhodes University
|
Faculty of Commerce Faculty of Education Faculty of Humanities Faculty of Law Faculty of Pharmacy Faculty of Science","['library', 'housing', 'sports facilities', 'financial aid']"
116,Riara University,world rank  8749,"Mbagathi Way, PO Box 49940
Nairobi
00100 Nairobi
Kenya",+254 0703 038 000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
117,"Richmond, The American International University in London",world rank  3462,"Queen's Road, Richmond upon Thames
London
TW10 6JP London
United Kingdom",+44 (20) 8332 9000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
118,Richmont Graduate University,world rank  9795,"1815 McCallie Avenue
Chattanooga
37404 Tennessee
United States",+1 (423) 226 4574,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
119,Rider University,world rank  1083,"2083 Lawrence Road
Lawrenceville
08648-3099 New Jersey
United States",+1 (609) 896 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Council for the Accreditation of Educator Preparation (CAEP)
Council for Accreditation of Counseling and Related Educational Programs (CACREP)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
120,Rift Valley University,world rank  9397,"Addis Ababa
121959 Oromia Region
Ethiopia",+251 930 470 877,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Rift Valley University
|
Faculty of Business and Social Sciences Faculty of Medical and Health Sciences Faculty of Technology and Engineering","['library', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
121,Rigas Aeronavigacijas instituts,world rank  11080,"Mežkalnu iela 9
Riga
1058 Riga
Latvia",+371 (7) 677831,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
122,Rigas Ekonomikas augstskola,world rank  5764,"Strelnieku iela 4a
Riga
1010 Riga
Latvia",+371 670 15800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
123,Rigas Juridiska augstskola,world rank  6067,"Strelnieku iela 4 k-2
Riga
1010 Riga
Latvia",+371 6703 9230,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
124,Rigas Starptautiska ekonomikas un biznesa administracijas augstskola,world rank  6893,"Meža iela 3
Riga
LV-1048 Riga
Latvia",+371 67 500 265,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
125,Rigas Stradina Universitate,world rank  4438,"Dzirciema iela 16
Riga
1007 Riga
Latvia",+371 67409262,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,European University Association (EUA),"Rigas Stradina Universitate
|
Faculty of Medicine Faculty of Dentistry Faculty of Pharmacy Faculty of Welfare and Public Health Faculty of Rehabilitation Faculty of European Studies Faculty of Communications Faculty of Continuing Education Division of Doctoral Studies International Student Department","['library', 'housing', 'sports facilities', 'financial aid']"
126,Rigas Tehniska universitate,world rank  1838,"Kalku Street 1
Riga
1658 Riga
Latvia",+371 (67) 089 300,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
Baltic Sea Region University Network (BSRUN)
Baltic University Programme (BUP)
European Association for International Education (EAIE)
European Union Universities of Small States Association (EU²S²)
European Universities Public Relations and Information Officers (EUPRIO)","Rigas Tehniska universitate
|
Faculty of Architecture Faculty of Civil Engineering Faculty of Computer Science and Information Technology Faculty of Electronics and Telecommunications Faculty of Engineering Economics and Management Faculty of Material Science and Applied Chemistry Faculty of Power and Electrical Engineering Faculty of Mechanical Engineering, Transport and Aeronautics Faculty of E-Learning Technologies and Humanities Riga Business School","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
127,Rijksuniversiteit Groningen,world rank  200,"Broerstraat 5
Groningen
9712 CP Groningen
Netherlands",+31 (50) 363 5420,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
Coimbra Group","Rijksuniversiteit Groningen
|
Faculty of Economics and Business Faculty of Behavioral and Social Sciences Faculty of Theology and Religious Studies Faculty of Arts Faculty of Medical Sciences Faculty of Law Faculty of Spatial Sciences Faculty of Science and Engineering Faculty of Philosophy University College Groningen","['library', 'housing', 'sports facilities', 'financial aid']"
128,Rikkyo University,world rank  1273,"3-34-1 Nishi Ikebukuro, Toshima-ku
Tokyo
171-8501 Tokyo
Japan",+81 (3) 3985 2208,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
129,RIMT University,world rank  9575,"Opposite floating restaurant
Mandi Gobindgarh
147 301 Punjab
India",+91 1800 137 0022,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"All India Council for Technical Education (AICTE)
Bar Council of India (BCI)
Pharmacy Council of India (PCI)
Council of Architecture (COA)","RIMT University
|
School of Engineering and Technology School of Hotel Management and Catering Technology School of Basic and Applied Sciences School of Para-Medical Sciences School of Agriculture Sciences School of Management Studies School of Education School of Library Sciences School of Humanities and Arts School of Computer Application Industrial Training Institute School of Design School of Pharmacy School of Journalism and Mass Communication School of Legal Studies School of Nursing","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
130,Ringling College of Art and Design,world rank  2085,"2700 North Tamiami Trail
Sarasota
34234-5895 Florida
United States",+1 (800) 255 7695,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"National Association of Schools of Art and Design (NASAD)
Commission on Colleges of the Southern Association of Colleges and Schools (SACS)
Council for Interior Design Accreditation (CIDA)",Association of Independent Colleges of Art and Design (AICAD),['Not reported']
131,Riphah International University,world rank  4455,"Hajj Complex Road, Sector I-14
Islamabad
46000 Islamabad CT
Pakistan",+92 (51) 111 510 510,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
132,Ripon College,world rank  3597,"300 West Seward Street
Ripon
54971-0248 Wisconsin
United States",+1 (920) 748 8115,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Associated Colleges of the Midwest (ACM)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
133,Rissho University,world rank  4116,"4-2-16 Osaki, Shinagawa-ku
Tokyo
141-8602 Tokyo
Japan",+81 (3) 3492 6649,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
134,Ritman University,world rank  12148,"104B Umuahia Road
Ikot Ekpene
Akwa Ibom
Nigeria",+234 (803) 701 5557,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Ritman University
|
Faculty of Natural and Applied Science Faculty of Social and Management Sciences Faculty of Humanities",['Not reported']
135,Ritsumeikan Asia Pacific University,world rank  2069,"1-1 Jumonjibaru
Beppu
874-8577 Oita
Japan",+81 (977) 78 1119,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,no-data,"Ritsumeikan Asia Pacific University
|
College of Asia Pacific Studies College of International Management Graduate School of Asia Pacific Studies Graduate School of Management","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
136,Ritsumeikan University,world rank  435,"56-1 Toji-in
Kyoto
603-8577 Kyoto
Japan",+81 (75) 465 1111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,Open Education Consortium (OEC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
137,Rivers State University,world rank  3509,"Ikwerre Road, Nkoplu Oroworukwo, Private Mailbox 5080, Nkpoku Oroworukwo
Port Harcourt
Rivers
Nigeria",+234 (709) 541 5002,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)","Rivers State University
|
College of Meeical Sciences Faculty of Agriculture Faculty of Engineering Faculty of Environmental Sciences Faculty of Management Sciences Faculty of Science Faculty of Technical and Science Education Faculty of Law Faculty of Social Sciences Faculty of Humanities Faculty of Basis Medical Sciences Faculty of Basic Clinical Services Institute of Geoscience and Space Technology Institute of Agricultural Research Institute for Pollution Studies Institute of Foundation Studies Centre for Continuing Education Centre for Information Technology Centre for Special Projects","['library', 'housing', 'sports facilities', 'distant learning', 'career services']"
138,Riverton University,world rank  13078,"Singh Building (SS Car rental) on Kamuzu Procession Road, 265
Lilongwe
Central Region
Malawi",+265 998 955 220,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
