,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
97,University of Piraeus,world rank  1751,"80, M. Karaoli & A. Dimitriou St
Piraeus
18534 Attica
Greece",+30 (210) 4142000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,European University Association (EUA),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
98,University of Pittsburgh,world rank  49,"4200 Fifth Avenue
Pittsburgh
15260 Pennsylvania
United States",+1 (412) 624 4141,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Council on Accreditation of Nurse Anesthesia Educational Programs (AANA)
Engineering Accreditation Commission (EAC) of ABET","Association of American Universities (AAU)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
99,University of Plovdiv Paisii Hilendarski,world rank  4598,"24 Tsar Assen Str.
Plovdiv
4000 Plovdiv
Bulgaria",+359 (32) 261 363,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"University of Plovdiv Paisii Hilendarski
|
Faculty of Biology Faculty of Education Faculty of Economic and Social Science Faculty of Mathematics and Informatics Faculty of Physics Faculty of Philology Faculty of Philosophy and History Faculty of Chemistry Faculty of Law Technical College - Smolyan","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
100,University of Plymouth,world rank  595,"Drake Circus
Plymouth
PL4 8AA South West England
United Kingdom",+44 (1752) 600 600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
European University Association (EUA)
Universities UK
University Alliance","University of Plymouth
|
Faculty of Arts Faculty of Health, Education and Society Faculty of Science and Technology The Plymouth Business School The Plymouth University Peninsula Schools of Medicine and Dentistry","['library', 'housing', 'sports facilities', 'financial aid']"
101,University of Poonch Rawalakot,world rank  11774,"D-65, Housing Scheme
Rawalakot
Azad Kashmir
Pakistan",+92 (5824) 960 008,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"University of Poonch Rawalakot
|
Faculty of Agriculture Faculty of Basic and Applied Sciences",['library']
102,University of Port Harcourt,world rank  5120,"East/West Road; PMB 5323 Choba
Port Harcourt
500001 Rivers
Nigeria",+234 (84) 230 890-99,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)","University of Port Harcourt
|
Faculty of Agriculture College of Continuing Education College of Health Sciences Faculty of Dentistry Faculty of Education Faculty of Engineering Faculty of Humanities Institute of Science Laboratory Technology Faculty of Management Sciences F","['library', 'housing', 'sports facilities', 'financial aid']"
103,University of Portland,world rank  1660,"5000 N Willamette Boulevard
Portland
97203-5798 Oregon
United States",+1 (503) 943 8000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Chemical Society (ACS)
Council for the Accreditation of Educator Preparation (CAEP);Council for the Accreditation of Educator Preparation (CAEP)
Oregon Teacher Standards and Practices Commission (TSPC);Campus Alberta Quality Council (CAQC)
Oregon State Board of Nursing (OSBN)
National Association of Schools of Music (NASM)
Council on Social Work Education (CSWE)
National Association of Schools of Theatre (NAST)","Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
104,University of Portsmouth,world rank  473,"University House, Winston Churchill Avenue
Portsmouth
PO1 2UP South East England
United Kingdom",+44 (23) 9284 8484,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
European University Association (EUA)
Universities UK
University Alliance","University of Portsmouth
|
Portsmouth Business School Faculty of Technology Faculty of Science Faculty of Humanities and Social Sciences Faculty of Creative and Cultural Industries","['library', 'sports facilities']"
105,University of Pretoria,world rank  206,"Lynnwood Road
Pretoria
0002 Gauteng
South Africa",+27 (12) 420 4111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Association of African Universities (AAU)
Universities South Africa (USA)
National Association of Distance Education and Open Learning in South Africa (NADEOSA)","University of Pretoria
|
Faculty of Economic and Management Sciences Faculty of Humanities Faculty of Health Sciences Faculty of Engineering, Built environment and Information Technology Faculty of Natural and Agricultural Sciences Faculty of Education Faculty of Law Faculty of Theology Faculty of Veterinary Sciences Gordon Institute of Business Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
106,University of Prince Edward Island,world rank  1299,"550 University Avenue
Charlottetown
C1A 4P3 Prince Edward Island
Canada",+1 (902) 566 0439,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Universities Canada (UC)
Worldwide Universities Network (WUN)
Canadian Bureau for International Education (CBIE)
Canadian University Press (CUP)","University of Prince Edward Island
|
Atlantic Veterinary College Faculty of Science School of Nursing Faculty of Arts Faculty of Education School of Business Administration","['library', 'housing', 'sports facilities']"
107,"University of Professional Studies, Accra",world rank  8924,"East legon; PO Box LG 149
Accra
Greater Accra
Ghana",+233 (303) 500 171,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"International Association of Universities (IAU)
Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)","University of Professional Studies, Accra
|
Faculty of Law Faculty of Accounting and Finance Faculty of Information and Technology and Communications Studies Faculty of Management Studies Institute of Professional Studies School of Graduate Studies Evening School Distance Learning School Weekend School Drolor Centre of Strategic Leadership Centre for International Education and Collaboration Centre for Public Accountability Otumfuo Centre for Traditional Leadership","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
108,University of Providence,world rank  5201,"1301 Twentieth Street S
Great Falls
59405-4996 Montana
United States",+1 (406) 761 8210,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Providence Health and Services (PHS)
Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
109,"University of Public Health, Yangon",world rank  12511,"246, Myo Ma Kyaung street
Yangon
Yangon
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
110,University of Puget Sound,world rank  1492,"1500 N. Warner Street
Tacoma
98416 Washington
United States",+1 (253) 879 3100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Chemical Society (ACS)
American Occupational Therapy Association (AOTA), Accreditation Council for Occupational Therapy Education (ACOTE)
American Physical Therapy Association (APTA), Commission on Accreditation in Physical Therapy Education","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
111,University of Puthisastra,world rank  10342,"55, Croix Rouge Khmere (St. 180), Sangkat Boeung Raing, Khan Daun Penh
Phnom Penh
51000 Phnom Penh
Cambodia",+855 (23) 221 624,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
112,University of Pyay,world rank  Un,"Pyay
Bago
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
113,University of Qom,world rank  5190,"Qom
Qom
Iran",+98 (251) 293 1771 3,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"University of Qom
|
Faculty of Arts and Humanities Faculty of Engineering Faculty of Law Faculty of Sciences Faculty of Theology and Islamic Studies","['library', 'housing']"
114,University of Quran and Hadith,world rank  7663,"Olum-e Hadith Faculty, Hazrat-e Abdul-Azim Holy Shrine
Rey
Tehran
Iran",+98 (21) 595 2524,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
115,University of Rajasthan,world rank  3894,"J.L.N. Marg
Jaipur
302 004 Rajasthan
India",+91 (141) 270 7863,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
116,University of Raparin,world rank  9955,"Main Street
Rania
Kurdistan
Iraq",+964 (748) 019 1424,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"University of Raparin
|
College of Nursing College of Education College of Basic Education College of Humanity Sciences College of Science",['library']
117,University of Reading,world rank  353,"Whiteknights Campus, PO Box 217
Reading
RG6 6AH South East England
United Kingdom",+44 (118) 987 5123,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Universities UK","University of Reading
|
Faculty of Arts, Humanities and Social Science Faculty of Economic and Social Sciences Henley Business School Faculty of Life Sciences","['library', 'sports facilities', 'financial aid', 'distant learning']"
118,University of Redlands,world rank  1682,"1200 E. Colton Avenue
Redlands
92373-0999 California
United States",+1 (909) 793 2121,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Chemical Society (ACS)
American Speech-Language-Hearing Association (ASHA), Council on Academic Accreditation in Audiology and Speech-Language Pathology
National Association of Schools of Music (NASM)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
119,University of Regina,world rank  609,"3737 Wascana Parkway
Regina
S4S 0A2 Saskatchewan
Canada",+1 (306) 585 4791,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Universities Canada (UC)
Association of Universities of the Canadian Francophonie (AUFC)
Canadian University Society for Intercollegiate Debate (CUSID)
University of the Arctic (UArctic)
Canadian Bureau for International Education (CBIE)
Canadian University Press (CUP)","University of Regina
|
Faculty of Arts Faculty of Business Administration Faculty of Education Faculty of Engineering Faculty of Fine Arts Faculty of Graduate Studies and Research Faculty of Kinesiology and Health Studies Faculty of Science Faculty of Social Work","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
120,University of Rhode Island,world rank  369,"Green Hall, 35 Campus Avenue
Kingston
02881 Rhode Island
United States",+1 (401) 874 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET","Rhode Island Board of Governors for Higher Education (RIBGHE)
Association of Public and Land-Grant Universities (APLU)
Global U8 Consortium (GU8)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
121,University of Richmond,world rank  514,"410 Westhampton Way
Richmond
23173 Virginia
United States",+1 (804) 289 8000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar
American Chemical Society (ACS)","Associated Colleges of the South (ACS)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
122,University of Rio Grande,world rank  4404,"218 N College Avenue
Rio Grande
45674 Ohio
United States",+1 (740) 245 7206,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Private,Non-Profit,no-data,"National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
123,University of Rizal System,world rank  11258,"Sampaloc
Tanay
1980 Calabarzon
Philippines",+63 (2) 653 1735,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
124,University of Rochester,world rank  82,"300 Wilson Boulevard
Rochester
14627-0011 New York
United States",+1 (585) 275 2121,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET","568 Group
Associated Universities, Inc. (AUI)
Association of American Universities (AAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
125,University of Roehampton,world rank  1252,"Grove House, Roehampton Lane
London
SW15 5PU London
United Kingdom",+44 (20) 8392 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"The Cathedral Group
Compostela Group of Universities
European University Association
School of Pedagogical and Technological Education
Universities UK","University of Roehampton
|
Department of Dance Department of Drama, Theatre and Performance Department of Education Department of English and Creative Writing Department of Humanities Department of Life Sciences Department of Media, Culture and Language Department of Psychology Department of Social Sciences Roehampton University Business School","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
126,University of Ruhuna,world rank  5335,"Wellamadama
Matara
81000 Southern Province
Sri Lanka",+94 (41) 222 2681 2,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Commonwealth Universities (ACU),"University of Ruhuna
|
Faculty of Agriculture Faculty of Engineering Faculty of Fisheries and Marine Sciences and Technology Faculty of Humanities and Social Sciences Faculty of Management and Finance Faculty of Medicine Faculty of Science",['library']
127,University of Rwanda,world rank  3868,"Kigali
Kigali Province
Rwanda",+250,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of African Universities (AAU)
Association of Commonwealth Universities (ACU)
International Association of Universities (IAU)
Inter-University Council for East Africa (IUCEA)","University of Rwanda
|
College of Arts and Social Sciences College of Agriculture, Animal Sciences and Veterinary Medicine College of Business and Economics College of Education College of Medicine and Health Sciences College of Science and Technology","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
128,University of Sadat City,world rank  9497,"Sadat
Monufia
Egypt",+20 (48) 260 3205,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Supreme Council of Universities (SCU),"University of Sadat City
|
Faculty of Education Faculty of Commerce Faculty of Law Faculty of Tourism and Hotels Faculty of Veterinary Medicine Genetic Engineering and Biotechnology Research Institute Environmental Studies and Research Institute",['library']
129,University of Saint Francis,world rank  4425,"2701 Spring Street
Fort Wayne
46808-3994 Indiana
United States",+1 (260) 399 7700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
American Physical Therapy Association (APTA), Commission on Accreditation in Physical Therapy Education
Commission on Accreditation of Allied Health Education Programs (CAAHEP)","Council of Independent Colleges (CIC)
Association of Franciscan Colleges and Universities (AFCU)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
130,University of Saint Joseph,world rank  3897,"1678 Asylum Avenue
West Hartford
06117-2791 Connecticut
United States",+1 (860) 232 4571,Women Only,"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Accreditation Council for Education in Nutrition and Dietetics (ACEND)
Accreditation Council for Pharmacy Education (ACPE)
American Association for Marriage and Family Therapy's Commission (AAMFT)
American Society for Biochemistry and Molecular Biology (ASBMB)
American Chemical Society (ACS)
Commission on Collegiate Nursing Education (AACN)
Connecticut State Department of Education (CSDE)
Council for Accreditation of Counseling and Related Educational Programs (CACREP)
Council for the Accreditation of Educator Preparation (CAEP)","New England Association of Schools and Colleges (NEASC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
131,"University of Saint Joseph, Macau",world rank  7071,"Estrada Marginal da Ilha Verde, 14-17
Macao

Macau",+853 8592 5678,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,"International Federation of Catholic Universities (IFCU)
International Association of Universities (IAU)
Association of Universities of Asia and the Pacific (AUAP)
The Association of Portuguese Speaking Universities (AULP)
International Association of University Presidents (IAUP)
European Association of Institutions in Higher Education (EURASHE)
World Conference of Catholic University Institutions of Philosophy (COMIUCAP)
International Association of Schools of Social Work (IASSW)
Guangdong-Hong Kong- Macau University Alliance (GHMA)
Jiangsu Province, Macao and Portuguese Speaking Countries Universities Network (JMPUN)
Community of Portuguese Language Countries (CPLP)
Skål International
British Business Association of Macao (BBAM)","University of Saint Joseph, Macau
|
Faculty of Religious Studies Faculty of Humanities School of Business School of Education Faculty of Social Sciences Faculty of Creative Industries Institute of Science and Environment","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
132,University of Saint Louis,world rank  11204,"Mabini Street
Tuguegarao City
3500 Cagayan Valley
Philippines",+63 (78) 844 1872,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
133,University of Saint Mary,world rank  5456,"4100 S. 4th Street
Leavenworth
66048-5082 Kansas
United States",+1 (913) 682 5151,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Council for the Accreditation of Educator Preparation (CAEP)
Commission on Collegiate Nursing Education (CCNE)
International Accreditation Council for Business Education (IACBE)
Kansas State Department of Education
Commission on Accreditation of Physical Therapy Education (CAPTE)
Commission on Accreditation for Health Informatics and Information Management Education (CAHIIM)","Council of Independent Colleges (CIC)
International Assembly for Collegiate Business Education (IACBE)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
134,University of Salford,world rank  706,"43 Crescent
Salford
M5 4WT North West England
United Kingdom",+44 (161) 295 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
European University Association (EUA)
Universities UK
University Alliance","University of Salford
|
School of Arts and Media School of Health and Society School of Science, Engineering and Environment Salford Business School","['library', 'housing', 'sports facilities', 'distant learning']"
135,University of Samarra,world rank  9425,"Samarra
Saladin
Iraq",+964,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"University of Samarra
|
College of Engineering Faculty of Applied Sciences Faculty of Islamic Sciences Faculty of Archaeology Faculty of Education College of Physical Education and Sports Science",['Not reported']
136,University of San Agustin,world rank  9848,"General Luna Street
Iloilo City
5000 Western Visayas
Philippines",+63 999 997 1485,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"International Federation of Catholic Universities (IFCU)
Catholic Education Association of the Philippines (CEAP)","University of San Agustin
|
Basic Education Department College of Liberal Arts, Sciences and Education College of Commerce College of Health and Allied Medical Professions College of Technology College of Law","['library', 'sports facilities', 'financial aid', 'career services']"
137,University of San Carlos,world rank  5451,"P. del Rosario Street
Cebu City
6000 Central Visayas
Philippines",+63 (32) 253 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,International Federation of Catholic Universities (IFCU),"University of San Carlos
|
College of Education College of Engineering College of Arts and Sciences College of Architecture and Fine Arts School of Business and Economics School of Law and Governance School of Health Care Professions","['library', 'housing', 'sports facilities', 'financial aid']"
138,University of San Diego,world rank  582,"5998 Alcala Park
San Diego
92110-2492 California
United States",+1 (619) 260 4600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","International Federation of Catholic Universities (IFCU)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
139,University of San Francisco,world rank  439,"2130 Fulton Street
San Francisco
94117-1080 California
United States",+1 (415) 422 5555,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","Association of Jesuit Colleges and Universities (AJCU)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
140,University of San Jose-Recoletos,world rank  6542,"Magallanes Street
Cebu City
6000 Central Visayas
Philippines",+63 (32) 253 7900,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'distant learning']"
141,University of Santo Tomas,world rank  2533,"España Street, Sampaloc
Manila
1015 National Capital Region
Philippines",+63 (2) 731 3101,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"International Federation of Catholic Universities (IFCU)
International Council of Universities of Saint Thomas Aquinas (ICUSTA)
Conférence Mondiale des Institutions Universitaires Catholiques de Philosophie (COMIUCAP)
Association of Southeast Asian Institutions of Higher Learning (ASAIHL)
Association of Southeast and East Asian Catholic Colleges and Universities (ASEACCU)
International Association of Universities (IAU)
Association of Universities of Asia and the Pacific (AUAP)
University Mobility in Asia and the Pacific (UMAP)
International Committee for University Museums and Collections (UMAC)
Association of Catholic Universities of the Philippines (ACUP)
Catholic Educational Association of the Philippines (CEAP)
Network of Dominican Schools, Colleges and Universities (DOMNET)
Philippine Association of Colleges and Universities (PACU)","University of Santo Tomas
|
Faculty of Sacred Theology Faculty of Philosophy Faculty of Canon Law Faculty of Civil Law Faculty of Medicine and Surgery Faculty of Pharmacy Faculty of Arts and Letters Faculty of Engineering College of Education College of Science College of Architecture College of Commerce and Business Administration College of Nursing College of Rehabilitation Sciences College of Fine Arts and Design College of Accountancy College of Tourism and Hospitality Management Conservatory of Music Graduate School","['library', 'housing', 'sports facilities', 'financial aid']"
142,University of Sargodha,world rank  5125,"University Road
Sargodha
40100 Punjab
Pakistan",+92 (451) 923 0170,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
143,University of Saskatchewan,world rank  335,"107 Administration Place
Saskatoon
S7N 5A2 Saskatchewan
Canada",+1 (306) 966 5788,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Universities Canada (UC)
U15 Group of Canadian Research Universities (U15)
Association of Commonwealth Universities (ACU)
University of the Arctic (UArctic)
Canadian University Society for Intercollegiate Debate (CUSID)
Canadian Bureau for International Education (CBIE)
Canadian University Press (CUP)","University of Saskatchewan
|
College of Agriculture and Bioresources College of Arts and Science College of Dentistry Edwards School of Business College of Education College of Engineering College of Kinesiology College of Law College of Medicine College of Nursing College of Pharmacy and Nutrition Western College of Veterinary Medicine College of Graduate and Postdoctoral Studies","['library', 'housing', 'sports facilities', 'career services']"
144,University of Science and Arts,world rank  10229,"Yazd
Yazd
Iran",+98 (351) 8264080,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
145,University of Science and Arts of Oklahoma,world rank  4135,"17th Street and Grand Avenue
Chickasha
73018-5322 Oklahoma
United States",+1 (405) 224 3140,Men and Women (coed),Native American non-tribal Institution,"Yes, international applicants are welcome to apply for admission",Public State,Non-Profit,"National Association of Schools of Music (NASM)
Council for the Accreditation of Educator Preparation (CAEP)
Oklahoma State Department of Education, Council on Education of the Deaf","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
146,University of Science and Technology,world rank  12033,"Annus Street - Athawra
Omdurman
14413 Khartoum
Sudan",+249 (187) 642 430,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"Association of African Universities (AAU)
Association of Arab Universities (AArU)
International Association of Universities (IAU)","University of Science and Technology
|
Faculty of Medicine Faculty of Pharmacy Faculty of Dentistry Faculty of Medical Laboratory Sciences Faculty of Engineering Faculty of Computer Sciences and Information Technology Faculty of Administrative Sciences Faculty of Graduate Studies","['library', 'sports facilities', 'financial aid', 'career services']"
147,University of Science and Technology,world rank  6093,"60th West Road, Sana'a, PO Box 15201
Sana'a
00967 Sanaa
Yemen",+967 (1) 373 237,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,"Federation of the Universities of the Islamic World (FUIW)
Association of Arab Universities
Arab Higher Education Institutions
Association of World Universities
Arab Network for Open and Distance Education
Member of International Council for Open and Distance Learning (ICDE)
Member of International Computer Driving License (ICDL)
Member of Association to Advance Collegiate Schools of Business (AACSB International)","University of Science and Technology
|
Faculty of Medicine and Health Sciences Faculty of Engineering Faculty of Administrative Sciences Faculty of Social Sciences and Humanities Faculty of Dentistry Faculty of Pharmacy Faculty of Computing and Information Technology Faculty of Open Education Deanship of Postgraduates Studies","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
148,University of Science and Technology at Zewail City,world rank  7329,"6th of October City
12588 Giza
Egypt",+20 (2) 3854 0400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Supreme Council of Universities (SCU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
149,University of Science and Technology Beijing,world rank  1389,"30 Xueyuan Road, Haidian District
Beijing
100083 Beijing
China",+86 (10) 6233 2541,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
150,University of Science and Technology Chittagong,world rank  10096,"Foy’s Lake
Chittagong
4202 Chittagong
Bangladesh",+880 (31) 659 069,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"University of Science and Technology Chittagong
|
Faculty of Business Administration Faculty of Basic Medical and Pharmaceutical Science Faculty of Medicine Faculty of Science, Engineering and Technology Faculty of Social Science and Humanities","['library', 'sports facilities']"
