,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
107,École Nationale des Travaux Publics de l'État,world rank  4673,"Rue Maurice Audin
Vaulx-en-Velin
69518 Auvergne-Rhone-Alpes
France",+33 (0)4 72 04 70 70,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
108,École Nationale d'Ingénieurs Abderhame Baba Touré,world rank  12590,"Bamako
Bamako Capital District
Mali",+223,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
109,École Nationale d'Ingénieurs de Brest,world rank  6073,"Technopole Brest-Iroise, CS 73862
Brest
29238 Bretagne
France",+33 (0)2 98 05 66 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Conférence des directeurs des écoles françaises d'ingénieurs (CDEFI)
Conférence des grandes écoles (CGE)
AUB
Agence Universitaire de la Francophonie (AUF)
CDGEB
UER Isblue
Carnot Institute ARTS
CominLabs
Institut de Recherche Technologique b-com
Lab-Sticc
IRDL
IMT","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
110,École Nationale d'Ingénieurs de Saint-Étienne,world rank  6279,"58, Rue Jean Parotz
Saint-Étienne
42023 Auvergne-Rhone-Alpes
France",+33 (0)4 77 43 84 84,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
111,École Nationale d'Ingénieurs de Tarbes,world rank  6371,"47, Avenue d'Azereix; Boîte Postale 1629
Tarbes
65016 Occitanie
France",+33 (0)5 62 44 27 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
112,École Nationale Polytechnique,world rank  6987,"10 Avenue Hassen Badi, El Harrach
Algiers
16200 Algiers
Algeria",+213 (21) 521494,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"École Nationale Polytechnique
|
Department of Basic Sciences Department of Chemical Engineering Department of Civil Engineering Department of Electrical Engineering Department of Electronics Department of Environmental Engineering Department of Hydraulics Department of Industrial Engineering Department of Mechanical Engineering Department of Metallurgical Engineering Department of Mining Engineering Department of Automatique Engineering Department of QHSE Engineering","['library', 'housing', 'sports facilities', 'financial aid']"
113,École Nationale Polytechnique de Constantine,world rank  10777,"Boîte Postale 75, A, Nouvelle ville RP
Constantine
25000 Constantine
Algeria",+213 (31) 785 168,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
114,École Nationale Polytechnique d'Oran,world rank  8125,"Route d'Es-Sénia, Oran BP 1523 El M'Naouer
Oran
31000 Oran
Algeria",+213 (41) 290 978,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
115,École Nationale Supérieure Agronomique,world rank  8484,"Avenue Hassan Badi, El Harrach
Algiers
16051 Algiers
Algeria",+213 (23) 828 507,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Réseau Mixte des Ecoles (RME)
Agence universitaire de la Francophonie (AUF)","École Nationale Supérieure Agronomique
|
Department of Agricultural Engineering Department of Animal Production Department of Botany Department of Food Technology Department of Forestry Department of Rural Economics Department of Soil Sciences Department of Zoology Department of Rural Engineering","['library', 'sports facilities', 'distant learning', 'career services']"
116,École Nationale Supérieure Agronomique de Toulouse,world rank  5997,"Avenue Agrobiopole
Auzeville-Tolosane
31320 Occitanie
France",+33 (0)5 34 32 39 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Commission des Titres Ingénieurs (CTI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
117,École Nationale Supérieure d'Architecture de Nancy,world rank  7557,"2, Rue Bastien Lepage; Boîte Postale 40435
Nancy
54001 Grand Est
France",+33 (0)3 83 30 81 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Conférence des Grandes Ecoles (CGE)
European Association for Architectural Education (EAAE)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
118,École Nationale Supérieure de Biotechnologie,world rank  11038,"Ville universitaire Ali Mendjeli; Boîte Postale E66
Constantine
25100 Constantine
Algeria",+213,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
119,École Nationale Supérieure de Chimie de Lille,world rank  6706,"Bât C7, Cité scientifique; Boîte Postale 90108
Villeneuve-d'Ascq
59652 Hauts-de-France
France",+33 (3) 20 33 62 75,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
120,École Nationale Supérieure de Chimie de Montpellier,world rank  6062,"8 Rue de l'Ecole Normale
Montpellier
34296 Occitanie
France",+33 (0)4 67 14 43 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
121,École Nationale Supérieure de Chimie de Paris,world rank  6204,"11, Rue Pierre-et-Marie-Curie
Paris
75231 Ile-de-France
France",+33 (0)1 44 27 66 72,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'career services']"
122,École Nationale Supérieure de Chimie de Rennes,world rank  4245,"Avenue du Général Leclerc, CS 50832
Rennes
35708 Bretagne
France",+33 (0)2 23 23 80 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
123,École Nationale Supérieure de Journalisme et des Sciences de l'Information,world rank  11345,"11 Rue Doudou Mokhtar, Ben Aknoun
Algiers
16058 Algiers
Algeria",+213 (21) 230 113,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
124,École Nationale Supérieure de l'Administration,world rank  10571,"1, Avenue de la Victoire; Boîte Postale 165
Rabat
10000 Rabat-Sale-Kenitra
Morocco",+212 (37) 72 44 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
125,École Nationale Supérieure de l'Électronique et de ses Applications,world rank  4554,"6, Avenue du Ponceau
Cergy-Pontoise
95014 Ile-de-France
France",+33 (0)1 30 73 66 66,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Elles Bougent,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
126,École Nationale Supérieure de Management,world rank  9556,"Pôle Universitaire Koléa-Tipaza
Tipaza
42003 Tipaza
Algeria",+213 (24) 380 009,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
127,École Nationale Supérieure de Mécanique et d'Aérotechnique,world rank  5106,"Téléport 2 – 1 avenue Clément Ader; BP 40109
Chasseneuil-du-Poitou
86961 Nouvelle-Aquitaine
France",+33 (0)5 49 49 80 80,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
128,École Nationale Supérieure de Mécanique et des Microtechniques,world rank  5773,"26, Chemin de l'Epitaphe
Besançon
25030 Bourgogne-Franche-Comte
France",+33 (0)3 81 40 27 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
129,École Nationale Supérieure de Sciences Politiques,world rank  10901,"11 Chemin Doudou Mokhtar, Ben Aknoun
Algiers
16030 Algiers
Algeria",+213 (23) 230 107,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
130,École Nationale Supérieure de Statistique et d'Economie Appliquée,world rank  9999,"Boîte Postale 3
Abidjan
Abidjan
Ivory Coast",+225 (22) 44 08 40,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
131,École Nationale Supérieure de Techniques Avancées Bretagne,world rank  4614,"2, Rue François Verny
Brest
29806 Bretagne
France",+33 (0)2 98 34 88 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
132,École Nationale Supérieure de Technologie,world rank  9546,"Route National N 5 Z.I.
Rouiba
16013 Algiers
Algeria",+213 (21) 815 674,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
133,École Nationale Supérieure des Arts et Industries Textiles,world rank  6001,"Boîte Postale 30329
Roubaix
59056 Hauts-de-France
France",+33 (0)3 20 25 64 64,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
134,École Nationale Supérieure des Arts Visuels de La Cambre,world rank  4417,"Abbaye de la Cambre 21
Brussels
1000 Brussels
Belgium",+32 (2) 626 1780,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
135,École Nationale Supérieure des Mines de St-Etienne,world rank  2279,"158, Cours Fauriel
Saint-Étienne
42023 Auvergne-Rhone-Alpes
France",+33 (0)4 77 42 01 23,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Conférence des Grandes Ecoles (CGE)
Coimbra Group","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
136,École Nationale Supérieure des Mines et de la Métallurgie,world rank  10910,"ex-CEFOS Chaiba, Boîte Postale 233
Annaba
23000 Annaba
Algeria",+213 (38) 540 395,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
137,École Nationale Supérieure des Sciences Agronomiques,world rank  6250,"1 Cours du Général de Gaulle CS 40201
Gradignan
33175 Nouvelle-Aquitaine
France",+33 (0)5 57 35 07 07,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Conférence des Grandes Ecoles (CGE),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
138,École Nationale Supérieure des Sciences de la Mer et de l'Aménagement du Littoral,world rank  10132,"Campus Universitaire Bois des Cars, Dély Ibrahim; Boîte Postale 19
Algiers
16320 Algiers
Algeria",+213 (21) 917 791,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
139,École Nationale Supérieure des Sciences de l'Information et des Bibliothèques,world rank  1472,"17-21, Boulevard du 11 Novembre 1918
Villeurbanne
69623 Auvergne-Rhone-Alpes
France",+33 (0)4 72 44 43 43,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
140,École Nationale Supérieure des Travaux Publics,world rank  Un,"1, Rue Sidi Garidi, Kouba
Algiers
16051 Algiers
Algeria",+213 (21) 286 838,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
141,École Nationale Supérieure d'Hydraulique,world rank  8114,"29 Route-999 de Soumaa; Boîte Postale 31
Blida
09000 Blida
Algeria",+213 (25) 399 447,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
142,École Nationale Supérieure d'Informatique,world rank  7427,"Boîte Postale 68M, Oued Smar, El Harrach
Algiers
16309 Algiers
Algeria",+213 (23) 939 132,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Agence Universitaire de la Francophonie (AUF),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
143,École Nationale Supérieure d'Informatique pour l'Industrie et l'Entreprise,world rank  6722,"1 square de la résistance
Évry
91025 Ile-de-France
France",+33 (0)1 69 36 73 50,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
144,École Nationale Supérieure d'Ingénieurs de Caen,world rank  2347,"6, Boulevard Maréchal Juin
Caen
14000 Normandie
France",+33 (0)2 31 45 27 50,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
145,École Nationale Supérieure en Statistique et en Economie Appliquée,world rank  10017,"11 Chemin Doudou Mokhtar, Ben Aknoun
Algiers
16030 Algiers
Algeria",+213 (21) 912 133,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Nationale Supérieure en Statistique et en Economie Appliquée
|
Department of Planning and Statistics",['library']
146,École Nationale supérieure Mines-Télécom Lille-Douai,world rank  4081,"941, Rue Charles Bourseul
Douai
59508 Hauts-de-France
France",+33 (0)3 27 71 22 22,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Institut Mines-Télécom
Conférence des grandes écoles (CGE)
Conférence des directeurs des écoles françaises d'ingénieurs (CDEFI)
Université Lille Nord de France
Université de Lille","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
147,École Nationale Supérieure Vétérinaire d'Alger,world rank  10150,"Boîte Postale 161, Hacène Badi, El Harrach
Algiers
16000 Algiers
Algeria",+213 (21) 525 132,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
148,École Nationale Vétérinaire d'Alfort,world rank  2499,"7, Avenue du Général de Gaulle
Maisons-Alfort
94704 Ile-de-France
France",+33 (0)1 43 96 71 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
149,École Nationale Vétérinaire de Toulouse,world rank  4183,"23, Chemin des Capelles
Toulouse
31076 Occitanie
France",+33 (0)5 61 19 38 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
150,"École Nationale Vétérinaire, Agroalimentaire et de l'alimentation de Nantes-Atlantique",world rank  5299,"101 Route de Gachet
Nantes
44307 Pays de la Loire
France",+33 (0)2 40 68 77 77,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
151,École Normale d'Enseignement Technique et Professionnel,world rank  13154,"Bamako
Bamako Capital District
Mali",+223 20 22 10 45,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
152,École Normale Supérieure,world rank  467,"45 Rue d'Ulm
Paris
75230 Ile-de-France
France",+33 (0)1 44 32 30 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
153,École Normale Supérieure d’Oran,world rank  11406,"Boîte Postale 1063 Saim Mohamed
Oran
31003 Oran
Algeria",+213,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
154,École Normale Supérieure d'Abidjan,world rank  11692,"08 Boîte Postale 10
Abidjan
Abidjan
Ivory Coast",+225 (22) 44 42 32,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
155,École Normale Supérieure de Bamako,world rank  Un,"Bamako Koura
Bamako
Bamako Capital District
Mali",+223 20 22 21 89,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
156,École Normale Supérieure de Béchar,world rank  12124,"Boîte Postale 601, Qunadisah Road
Béchar
08000 Bechar
Algeria",+213 (20) 882 3049,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Normale Supérieure de Béchar
|
Department of Arts and Arabic Department of French Language Department of Exact Sciences","['library', 'distant learning']"
157,École Normale Supérieure de Bou Saâda,world rank  12390,"Algeria Road, Gaza District
Bou Saada
28001 M Sila
Algeria",+213 03 714 3035,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Normale Supérieure de Bou Saâda
|
Department of Arabic Language Department of French Language Department of Exact Sciences",['Not reported']
158,École Normale Supérieure de Bouzaréah,world rank  9214,"93 Ali Ramly Street, Bouzaréah
Algiers
16040 Algiers
Algeria",+213 (21) 941 357,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Normale Supérieure de Bouzaréah
|
Department of Arabic Language and Literature Department of History and Geography Department of English Department of French Department of Philosophy Department of the Berber language",['library']
159,École Normale Supérieure de Bujumbura,world rank  12541,"Boulevard du 28 Novembre; Boîte Postale 6983
Bujumbura
Bujumbura Mairie
Burundi",+257 (22) 258 945,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
160,École Normale Supérieure de Constantine,world rank  10290,"Ville Universitaire, Ain El Bey Ali Mendjeli
Constantine
25000 Constantine
Algeria",+213 (31) 786 061,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
161,École Normale Supérieure de Kouba,world rank  8346,"Boîte Postale 92, Kouba
Algiers
16308 Algiers
Algeria",+213 (21) 297 511,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
162,École Normale Supérieure de Laghouat,world rank  11274,"Trans-Sahara Hwy
Laghouat
04033 Laghouat
Algeria",+213 (29) 107 455,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
163,École Normale Supérieure de l'Enseignement Technique,world rank  Un,"Boîte Postale 3989
Libreville
Estuaire
Gabon",+241 73 29 88,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
164,École Normale Supérieure de Libreville,world rank  Un,"Boîte Postale 17009
Libreville
Estuaire
Gabon",+241 73 31 59,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
165,École Normale Supérieure de Lyon,world rank  530,"15 parvis René Descartes; BP 7000
Lyon
69342 Auvergne-Rhone-Alpes
France",+33 (0)4 37 37 60 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Coimbra Group,"École Normale Supérieure de Lyon
|
Department of Mathematics Department of Computer Science Department of Physics Department of Chemistry Department of Biology Department of Earth Sciences","['library', 'housing', 'sports facilities', 'financial aid']"
166,École Normale Supérieure de Ouargla,world rank  12657,"Ouargla
Ouargla
Algeria",+213 (29) 609 595,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Normale Supérieure de Ouargla
|
Department of Natural Sciences Department of Exact Sciences Department of Foreign Languages Department of Arabic Literature","['library', 'distant learning']"
167,École Normale Supérieure de Rennes,world rank  4243,"Avenue Robert Schuman
Bruz
35170 Bretagne
France",+33 (0)2 99 05 93 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
168,École Normale Supérieure de Sétif,world rank  11844,"El Eulma
19600 Setif
Algeria",+213 (36) 470 001/02,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Normale Supérieure de Sétif
|
Départment des sciences Départment de langue arabe et d’Histoire-Géographie Départment des langues étrangères",['library']
169,École Normale Supérieure d'Enseignement Technologique de Skikda,world rank  11622,"Cité frère Bouceta Azzaba
Skikda
Skikda
Algeria",+213 (38) 959 681,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Normale Supérieure d'Enseignement Technologique de Skikda
|
Department of Natural Sciences Department of Mathematics and Computer Information Department of Physics and Chemistry Department of Technology","['library', 'distant learning']"
170,École Normale Supérieure Paris-Saclay,world rank  1577,"61, Avenue du Président-Wilson
Cachan
94235 Ile-de-France
France",+33 (0)1 47 40 20 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,European University Association (EUA),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
171,École Polytechnique,world rank  745,"Route de Saclay
Palaiseau
91128 Ile-de-France
France",+33 (0)1 69 33 33 33,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Eurotech Universities
Grandes Écoles de la Défense
Conférence des Grandes Écoles","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
172,École Polytechnique de Montréal,world rank  1112,"CP 6079, Succursale Centre Ville
Montréal
H3C 3A7 Quebec
Canada",+1 (514) 340 4711,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Universities Canada (UC)
Canadian Bureau for International Education (CBIE)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
173,École polytechnique de Thiès,world rank  11542,"Boîte Postale A10
Thiès
Thies
Senegal",+221 33 951 1548,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École polytechnique de Thiès
|
Civil Engineering Department Electromechanical Engineering Department Department of Computer Science and Telecommunications",['library']
174,École Polytechnique Fédérale de Lausanne,world rank  157,"Ecublens
Lausanne
1015 Vaud
Switzerland",+41 (21) 693 1111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Swiss University Conference (SUC)
European University Association (EUA)
Conference of European Schools for Advanced Engineering Education and Research (CESAER)","École Polytechnique Fédérale de Lausanne
|
School of Basic Sciences School of Engineering School of Architecture, Civil and Environmental Engineering School of Computer and Communication Sciences School of Life Sciences College of Management of Technology College of Human Sciences EPFL Middle East Interfaculty Institute of Bioengineering","['library', 'housing', 'sports facilities', 'financial aid']"
175,École Polytechnique Internationale Privée de Tunis,world rank  11161,"Rue du lac Annecy, Immeuble Stramica, Les Berges du Lac
Tunis
1053 Tunis
Tunisia",+216 71963427,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
176,École Polytehnique d'Architecture et d'Urbanisme,world rank  9862,"Route de Beaulieu, El Harrach
Algiers
16200 Algiers
Algeria",+213 (21) 524 726,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
177,École pour l'Informatique et les Techniques Avancées,world rank  2284,"14/16, Rue Voltaire
Le Kremlin-Bicêtre
94270 Ile-de-France
France",+33 (0)1 80 51 71 37,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
178,École Royale d'Administration,world rank  9720,"17, Nhiek Tioulong Street (Ext st 466), Khan Chamkarmorn
Phnom Penh
Phnom Penh
Cambodia",+855 (23) 215 408,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
179,"École Spéciale des Travaux Publics, du Bâtiment et de l'Industrie",world rank  4931,"2-4 rue Charras
Paris
75009 Ile-de-France
France",+33 (0)1 75 77 86 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
